Date,"Patricia Pepper","Adrián Babič","Germán Chaves","Tijl De Decker","Kelly Catlin","Lieuwe Westra","Vicente López Carril","Chris Anker Sørensen","Ethan Boyes","Arturo Grávalos"
2016-10-28,0,0,0,0,13,3,0,6,0,0
2016-10-29,0,0,0,0,14,3,0,3,0,0
2016-10-30,0,0,0,0,16,4,2,6,0,0
2016-10-31,0,0,0,0,10,6,1,8,0,0
2016-11-01,0,0,0,0,6,7,4,4,0,0
2016-11-02,0,0,0,0,10,4,1,6,0,0
2016-11-03,0,0,0,0,7,1,1,6,0,0
2016-11-04,0,0,0,0,7,3,1,6,0,0
2016-11-05,0,0,0,0,7,2,0,6,0,0
2016-11-06,0,0,0,0,6,5,1,1,0,0
2016-11-07,0,0,0,0,8,6,2,2,0,0
2016-11-08,0,0,0,0,9,5,1,3,0,0
2016-11-09,0,0,0,0,5,2,0,1,0,0
2016-11-10,0,0,0,0,6,0,0,1,0,0
2016-11-11,0,0,0,0,6,8,2,3,0,0
